date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:51	38767/38767	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2010:50:38%20GMT	https://templates.hibootstrap.com/fela/default/index-3.html	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/index-3.html	(from )
12:31:52	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2006:31:55%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
12:31:53	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b696-27ff2%22	https://templates.hibootstrap.com/fela/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:53	5562/5562	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b69c-1a82%22	https://templates.hibootstrap.com/fela/default/assets/css/flaticon.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:54	96399/96399	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b698-1788f%22	https://templates.hibootstrap.com/fela/default/assets/css/remixicon.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/remixicon.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:54	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b69b-d17%22	https://templates.hibootstrap.com/fela/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:54	13039/13039	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b697-3302%22	https://templates.hibootstrap.com/fela/default/assets/css/fancybox.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/fancybox.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:54	32130/32130	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b699-7d82%22	https://templates.hibootstrap.com/fela/default/assets/css/jquery-ui-min.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/jquery-ui-min.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:54	3124/3124	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b69a-c34%22	https://templates.hibootstrap.com/fela/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
12:31:55	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2264f5b697-65c5%22	https://templates.hibootstrap.com/fela/default/assets/css/aos.css	C:/My%20Web%20Sites/abt/templates.hibootstrap.com/fela/default/assets/css/aos.css	(from https://templates.hibootstrap.com/fela/default/index-3.html)
